source_id,source_sub_id,start_time,duration,shape,xcen,ycen,flux,distance,fwhm_wd,fwhm_ht,phi,loop_ht,time_distribution,time_distribution_param1,time_distribution_param2,energy_spectrum_type,energy_spectrum_param1,energy_spectrum_param2,background_multiplier,background_multiplier_1, background_multiplier_2,background_multiplier_3,background_multiplier_4,background_multiplier_5,background_multiplier_6,background_multiplier_7,background_multiplier_8,background_multiplier_9,background_multiplier_10,background_multiplier_11,background_multiplier_12,background_multiplier_13,background_multiplier_14,background_multiplier_15,background_multiplier_16,background_multiplier_17,background_multiplier_18,background_multiplier_19,background_multiplier_20,background_multiplier_21,background_multiplier_22,background_multiplier_23,background_multiplier_24,background_multiplier_25,background_multiplier_26,background_multiplier_27,background_multiplier_28,background_multiplier_29,background_multiplier_30,background_multiplier_31,detector_override,pixel_override
47,1,,4,gaussian,-269.229767,-232.516037,492141.968750,1,40,20,,,uniform,,,thermal,0.581032,2.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2,,4,gaussian,-269.229767,-232.516037,14664.737305,1,20,10,,,uniform,,,powerlaw,0.528632,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,188.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,,4,gaussian,-269.229767,-232.516037,524451.750000,1,40,20,,,uniform,,,thermal,0.619178,2.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2,,4,gaussian,-269.229767,-232.516037,16473.228516,1,20,10,,,uniform,,,powerlaw,0.593824,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,192.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,,4,gaussian,-269.229767,-232.516037,477607.531250,1,40,20,,,uniform,,,thermal,0.563872,2.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2,,4,gaussian,-269.229767,-232.516037,16128.792969,1,20,10,,,uniform,,,powerlaw,0.581407,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,196.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1,,4,gaussian,-269.229767,-232.516037,537444.687500,1,40,20,,,uniform,,,thermal,0.634517,2.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2,,4,gaussian,-269.229767,-232.516037,17393.234375,1,20,10,,,uniform,,,powerlaw,0.626988,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,200.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1,,4,gaussian,-269.229767,-232.516037,561387.750000,1,40,20,,,uniform,,,thermal,0.662785,2.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2,,4,gaussian,-269.229767,-232.516037,16228.955078,1,20,10,,,uniform,,,powerlaw,0.585018,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,204.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1,,4,gaussian,-269.229767,-232.516037,596594.625000,1,40,20,,,uniform,,,thermal,0.767572,2.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2,,4,gaussian,-269.229767,-232.516037,14437.106445,1,20,10,,,uniform,,,powerlaw,0.520426,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0,208.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1,,4,gaussian,-269.229767,-232.516037,595785.625000,1,40,20,,,uniform,,,thermal,0.766531,2.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2,,4,gaussian,-269.229767,-232.516037,15537.748047,1,20,10,,,uniform,,,powerlaw,0.560102,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0,212.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1,,4,gaussian,-269.229767,-232.516037,612254.687500,1,40,20,,,uniform,,,thermal,0.787720,2.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2,,4,gaussian,-269.229767,-232.516037,16136.111328,1,20,10,,,uniform,,,powerlaw,0.581671,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0,216.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1,,4,gaussian,-269.229767,-232.516037,577096.750000,1,40,20,,,uniform,,,thermal,0.742486,2.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2,,4,gaussian,-269.229767,-232.516037,14010.927734,1,20,10,,,uniform,,,powerlaw,0.505063,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0,220.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1,,4,gaussian,-269.229767,-232.516037,616181.375000,1,40,20,,,uniform,,,thermal,0.869904,2.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2,,4,gaussian,-269.229767,-232.516037,12540.741211,1,20,10,,,uniform,,,powerlaw,0.452066,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0,224.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1,,4,gaussian,-269.229767,-232.516037,674454.000000,1,40,20,,,uniform,,,thermal,0.952171,2.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2,,4,gaussian,-269.229767,-232.516037,15307.481445,1,20,10,,,uniform,,,powerlaw,0.551801,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0,228.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1,,4,gaussian,-269.229767,-232.516037,609978.625000,1,40,20,,,uniform,,,thermal,0.952382,1.900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2,,4,gaussian,-269.229767,-232.516037,13272.023438,1,20,10,,,uniform,,,powerlaw,0.478427,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0,232.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1,,4,gaussian,-269.229767,-232.516037,655419.875000,1,40,20,,,uniform,,,thermal,1.023331,1.900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2,,4,gaussian,-269.229767,-232.516037,14848.992188,1,20,10,,,uniform,,,powerlaw,0.535273,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0,236.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1,,4,gaussian,-269.229767,-232.516037,671815.312500,1,40,20,,,uniform,,,thermal,1.048930,1.900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2,,4,gaussian,-269.229767,-232.516037,11574.133789,1,20,10,,,uniform,,,powerlaw,0.417222,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0,240.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1,,4,gaussian,-269.229767,-232.516037,679813.437500,1,40,20,,,uniform,,,thermal,1.061418,1.900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2,,4,gaussian,-269.229767,-232.516037,8711.789062,1,20,10,,,uniform,,,powerlaw,0.314041,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0,244.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
