; Table containing the spacecraft roll angle values from 1-6-2020 to 21-02-2022 (3 measurements per day)
UTC,Roll angle (degrees)
2020-09-04T21:33:52.135,-4.127257688746263
2020-09-05T05:33:21.691,-4.098211560246739
2020-09-05T13:32:51.247,-4.067583328678893
2020-09-05T21:32:20.803,-4.039358325273059
2020-09-06T05:31:50.359,-4.0102358468095805
2020-09-06T13:31:19.915,-3.980511604474843
2020-09-06T21:30:49.471,-3.9512023923228163
2020-09-07T05:30:19.27,-3.9212749223026946
2020-09-07T13:29:48.583,-3.8919303825734364
2020-09-07T21:29:18.139,-3.862343804161237
2020-09-08T05:28:47.695,-3.8324308059753993
2020-09-08T13:28:17.251,-3.802791456591436
2020-09-08T21:27:46.807,-3.7732245709561667
2020-09-09T05:27:16.363,-3.74328884427518
2020-09-09T13:26:45.919,-3.713488414389121
2020-09-09T21:26:15.475,-3.6834806195363394
2020-09-10T05:25:45.31,85.25262847710992
2020-09-10T13:25:14.587,-3.6234608002043585
2020-09-10T21:24:44.143,-3.5935515760659533
2020-09-11T05:24:13.699,-3.5635502462844726
2020-09-11T13:23:43.255,-3.5334421355754424
2020-09-11T21:23:12.811,-3.5034893603511024
2020-09-12T05:22:42.367,-3.473069677430062
2020-09-12T13:22:11.923,-3.4427985482579344
2020-09-12T21:21:41.479,-3.412789443370097
2020-09-13T05:21:11.35,-3.3821452312077236
2020-09-13T13:20:40.591,-3.351919073146551
2020-09-13T21:20:10.147,-3.321760787560258
2020-09-14T05:19:39.704,-3.2913818009142695
2020-09-14T13:19:09.260,-3.260808284395408
2020-09-14T21:18:38.816,-3.2304341492964923
2020-09-15T05:18:08.372,-3.1999535109045874
2020-09-15T13:17:37.928,-3.1691773816349738
2020-09-15T21:17:07.484,-3.138762154650528
2020-09-16T05:16:37.40,-3.108212486289297
2020-09-16T13:16:06.596,-3.07759452790236
2020-09-16T21:15:36.152,-3.047074219616558
2020-09-17T05:15:05.708,-3.016320941334654
2020-09-17T13:14:35.264,-2.9854724015986864
2020-09-17T21:14:04.820,-2.955018789589514
2020-09-18T05:13:34.376,-2.9240845080151816
2020-09-18T13:13:03.932,-2.893089586504652
2020-09-18T21:12:33.488,-2.8624292621066982
2020-09-19T05:12:03.44,-2.831554348236962
2020-09-19T13:11:32.600,-2.799965292975958
2020-09-19T21:11:02.156,-2.769792566971645
2020-09-20T05:10:31.712,-2.738480998964355
2020-09-20T13:10:01.268,-2.7080749835406177
2020-09-20T21:09:30.824,-2.6770527883277606
2020-09-21T05:09:00.380,-2.6459278726239854
2020-09-21T13:08:29.936,-2.615003314915982
2020-09-21T21:07:59.492,-2.5836660331179653
2020-09-22T05:07:29.48,-2.5524104554512395
2020-09-22T13:06:58.604,-2.5218371088080227
2020-09-22T21:06:28.160,-2.4904305895288794
2020-09-23T05:05:57.716,-2.4587431999424134
2020-09-23T13:05:27.272,-2.4282269270283052
2020-09-23T21:04:56.828,-2.397114545774429
2020-09-24T05:04:26.384,-2.365487870758122
2020-09-24T13:03:55.940,-2.3343363886306916
2020-09-24T21:03:25.496,-2.302973844228665
2020-09-25T05:02:55.52,-2.272382112519498
2020-09-25T13:02:24.608,-2.2401867855649797
2020-09-25T21:01:54.164,-2.208960923612163
2020-09-26T05:01:23.720,-2.1776810268161655
2020-09-26T13:00:53.276,-2.1460987098796025
2020-09-26T21:00:22.832,-2.115111673489628
2020-09-27T04:59:52.389,-2.0835396603601426
2020-09-27T12:59:21.945,-2.0524657391049796
2020-09-27T20:58:51.501,-2.0207129657005494
2020-09-28T04:58:21.57,-1.9889485684487256
2020-09-28T12:57:50.613,-1.9572874877800857
2020-09-28T20:57:20.169,-1.9260847931440803
2020-09-29T04:56:49.725,-1.8942223718681792
2020-09-29T12:56:19.281,-1.8630200788088371
2020-09-29T20:55:48.837,-1.8311049425276302
2020-09-30T04:55:18.393,-1.799493152247852
2020-09-30T12:54:47.949,-1.7679933151026408
2020-09-30T20:54:17.505,-1.7363687224699866
2020-10-01T04:53:47.61,-1.7046482919159243
2020-10-01T12:53:16.617,-1.6729358167013684
2020-10-01T20:52:46.173,-1.6411092319345877
2020-10-02T04:52:15.729,-1.609547196013854
2020-10-02T12:51:45.285,-1.5777365156574898
2020-10-02T20:51:14.841,-1.5461052552679784
2020-10-03T04:50:44.397,-1.5142105716902237
2020-10-03T12:50:13.953,-1.4823560162080116
2020-10-03T20:49:43.509,-1.4505554676336787
2020-10-04T04:49:13.65,-1.4189599022686155
2020-10-04T12:48:42.621,-1.3867947630102484
2020-10-04T20:48:12.177,-1.3552020364560748
2020-10-05T04:47:41.733,-1.3231657109705717
2020-10-05T12:47:11.289,-1.291453179822362
2020-10-05T20:46:40.845,-1.2592890589174512
2020-10-06T04:46:10.401,-1.2275187881439886
2020-10-06T12:45:39.957,-1.1954003166319922
2020-10-06T20:45:09.513,-1.1634844190745088
2020-10-07T04:44:39.69,-1.1315179783296514
2020-10-07T12:44:08.625,-1.09960942977479
2020-10-07T20:43:38.181,-1.0675326059794987
2020-10-08T04:43:07.737,-1.0355769952457017
2020-10-08T12:42:37.293,-1.003380207078717
2020-10-08T20:42:06.849,-0.9713008621715342
2020-10-09T04:41:36.405,-0.9392053582310975
2020-10-09T12:41:05.961,-0.9071911844386745
2020-10-09T20:40:35.517,-0.8752300724931784
2020-10-10T04:40:05.73,-0.8427615151934168
2020-10-10T12:39:34.630,-0.8106833461760158
2020-10-10T20:39:04.186,-0.77848422893847
2020-10-11T04:38:33.742,-0.7466250960089482
2020-10-11T12:38:03.298,-0.7142504124727117
2020-10-11T20:37:32.854,-0.6821583270825874
2020-10-12T04:37:02.410,-0.6498436328304109
2020-10-12T12:36:31.966,-0.6174541552630447
2020-10-12T20:36:01.522,-0.5852946468208118
2020-10-13T04:35:31.78,-0.5530810309253056
2020-10-13T12:35:00.634,-0.5207935659525529
2020-10-13T20:34:30.190,-0.48844114020015317
2020-10-14T04:33:59.746,-0.45637766229708265
2020-10-14T12:33:29.302,-0.42389044939061377
2020-10-14T20:32:58.858,-0.39163365941197054
2020-10-15T04:32:28.414,-0.35910792166097893
2020-10-15T12:31:57.970,-0.3266623449497893
2020-10-15T20:31:27.526,-0.29446689312893215
2020-10-16T04:30:57.82,-0.261980640313282
2020-10-16T12:30:26.638,-0.22980030366077808
2020-10-16T20:29:56.194,-0.19730530588617914
2020-10-17T04:29:25.750,-0.16480496869984934
2020-10-17T12:28:55.306,-0.13238960168388633
2020-10-17T20:28:24.862,-0.09981334559200715
2020-10-18T04:27:54.418,-0.06732446109871706
2020-10-18T12:27:23.974,-0.035084878893021934
2020-10-18T20:26:53.530,-0.0021991566577290564
2020-10-19T04:26:23.86,0.029964334288955476
2020-10-19T12:25:52.642,0.06258703565929842
2020-10-19T20:25:22.198,0.09497198043709808
2020-10-20T04:24:51.754,0.12760904023662045
2020-10-20T12:24:21.310,0.160260349152506
2020-10-20T20:23:50.866,0.19285914490468115
2020-10-21T04:23:20.422,0.22551720009220852
2020-10-21T12:22:49.978,0.25811913802743663
2020-10-21T20:22:19.534,0.29061249000140565
2020-10-22T04:21:49.90,0.32332772314947367
2020-10-22T12:21:18.646,0.35599753012922425
2020-10-22T20:20:48.202,0.38872988467459174
2020-10-23T04:20:17.758,0.4211199597493244
2020-10-23T12:19:47.315,0.45385175443432135
2020-10-23T20:19:16.871,0.4866180698973415
2020-10-24T04:18:46.427,0.5194359549370381
2020-10-24T12:18:15.983,0.5521840768385118
2020-10-24T20:17:45.539,0.5849564309829476
2020-10-25T04:17:15.95,0.6174747567161007
2020-10-25T12:16:44.651,0.6502561119386653
2020-10-25T20:16:14.207,0.6831027994950638
2020-10-26T04:15:43.763,0.7160215707542074
2020-10-26T12:15:13.319,0.7486076949469284
2020-10-26T20:14:42.875,0.7814105310075791
2020-10-27T04:14:12.431,0.8142962114566851
2020-10-27T12:13:41.987,0.8469762752551144
2020-10-27T20:13:11.543,0.8799508161854691
2020-10-28T04:12:41.99,0.9127710921918554
2020-10-28T12:12:10.655,0.9456475669276525
2020-10-28T20:11:40.211,0.9783621194914383
2020-10-29T04:11:09.767,1.0114440689518926
2020-10-29T12:10:39.323,1.0442395502116717
2020-10-29T20:10:08.879,1.0771880486373009
2020-10-30T04:09:38.435,1.1100762159205797
2020-10-30T12:09:07.991,1.142968721917867
2020-10-30T20:08:37.547,1.17597962283499
2020-10-31T04:08:07.103,1.20873416592746
2020-10-31T12:07:36.659,1.2417920247462253
2020-10-31T20:07:06.215,1.2747732554008717
2020-11-01T04:06:35.771,1.307660678765093
2020-11-01T12:06:05.327,1.3406114207138937
2020-11-01T20:05:34.883,1.3736550233525313
2020-11-02T04:05:04.439,1.4063423378350928
2020-11-02T12:04:33.995,1.43946788892783
2020-11-02T20:04:03.551,1.4726276849722193
2020-11-03T04:03:33.107,1.5057853858192378
2020-11-03T12:03:02.663,1.5386315865063245
2020-11-03T20:02:32.219,1.5715585009291237
2020-11-04T04:02:01.775,1.6047037389807561
2020-11-04T12:01:31.331,1.6375422783678326
2020-11-04T20:01:00.887,1.6708216834235345
2020-11-05T04:00:30.443,1.7036866343300732
2020-11-05T12:00:00,1.736612348533472
2020-11-05T19:59:29.556,1.7697466482547062
2020-11-06T03:58:59.112,1.8029832424418897
2020-11-06T11:58:28.668,1.835975315101937
2020-11-06T19:57:58.224,1.868877912952356
2020-11-07T03:57:27.780,1.9022168344213672
2020-11-07T11:56:57.336,1.9351384972751944
2020-11-07T19:56:26.892,1.9682923914518127
2020-11-08T03:55:56.448,2.0013542749824786
2020-11-08T11:55:26.4,2.0342089082081807
2020-11-08T19:54:55.560,2.067542062373264
2020-11-09T03:54:25.116,2.1008333279176097
2020-11-09T11:53:54.672,2.133746802599922
2020-11-09T19:53:24.228,2.166821047499028
2020-11-10T03:52:53.784,2.1999724433236967
2020-11-10T11:52:23.340,2.233134463731457
2020-11-10T19:51:52.896,2.26613765645624
2020-11-11T03:51:22.452,2.2992006425765976
2020-11-11T11:50:52.8,2.3323783729808203
2020-11-11T19:50:21.564,2.3656062981478794
2020-11-12T03:49:51.120,2.39863160631745
2020-11-12T11:49:20.676,2.4318307009680713
2020-11-12T19:48:50.232,2.4648525880518157
2020-11-13T03:48:19.788,2.49799826046157
2020-11-13T11:47:49.344,2.531223719048985
2020-11-13T19:47:18.900,2.56413459707997
2020-11-14T03:46:48.456,2.5971998948164576
2020-11-14T11:46:18.12,2.6302674273654088
2020-11-14T19:45:47.568,2.6634675645649146
2020-11-15T03:45:17.124,2.696655435537267
2020-11-15T11:44:46.680,2.7295877468648713
2020-11-15T19:44:16.236,2.7626529028253195
2020-11-16T03:43:45.792,2.7957047331646825
2020-11-16T11:43:15.348,2.8290051773880807
2020-11-16T19:42:44.904,2.8621041612332685
2020-11-17T03:42:14.460,2.8950403676895853
2020-11-17T11:41:44.16,2.9278159013698986
2020-11-17T19:41:13.572,2.961121548055318
2020-11-18T03:40:43.128,2.9941483658280585
2020-11-18T11:40:12.684,3.0271579692018076
2020-11-18T19:39:42.241,3.0601564453292243
2020-11-19T03:39:11.797,3.0931360341738645
2020-11-19T11:38:41.353,3.1261846186804276
2020-11-19T19:38:10.909,3.1590609407223567
2020-11-20T03:37:40.465,3.191962694386302
2020-11-20T11:37:10.21,3.2249628389207214
2020-11-20T19:36:39.577,3.257746464234307
2020-11-21T03:36:09.133,3.290712553186054
2020-11-21T11:35:38.689,3.323742338405119
2020-11-21T19:35:08.245,3.3563472976298048
2020-11-22T03:34:37.801,3.3894257436685313
2020-11-22T11:34:07.357,3.422110349313866
2020-11-22T19:33:36.913,3.4548020139274964
2020-11-23T03:33:06.469,3.4877614803666197
2020-11-23T11:32:36.25,3.52068148840588
2020-11-23T19:32:05.581,3.5533851505202128
2020-11-24T03:31:35.137,3.5860423579167615
2020-11-24T11:31:04.693,3.6186734233870688
2020-11-24T19:30:34.249,3.6514283291562335
2020-11-25T03:30:03.805,3.683947771729493
2020-11-25T11:29:33.361,3.716628228871259
2020-11-25T19:29:02.917,3.749317582813615
2020-11-26T03:28:32.473,3.781768903836902
2020-11-26T11:28:02.29,3.814283562699675
2020-11-26T19:27:31.585,3.846687591348277
2020-11-27T03:27:01.141,3.8791187905667712
2020-11-27T11:26:30.697,3.911490883665121
2020-11-27T19:26:00.253,3.94394821508325
2020-11-28T03:25:29.809,3.976409854633946
2020-11-28T11:24:59.365,4.008394832077699
2020-11-28T19:24:28.921,4.040729216570645
2020-11-29T03:23:58.477,4.073020601106562
2020-11-29T11:23:28.33,4.105182568845381
2020-11-29T19:22:57.589,4.137245003044818
2020-11-30T03:22:27.145,4.169423000318184
2020-11-30T11:21:56.701,4.201549341164137
2020-11-30T19:21:26.257,4.233332418837552
2020-12-01T03:20:55.813,4.265296504156424
2020-12-01T11:20:25.369,4.297447382433619
2020-12-01T19:19:54.926,4.329067769686782
2020-12-02T03:19:24.482,4.360898749598281
2020-12-02T11:18:54.38,4.392736925698333
2020-12-02T19:18:23.594,4.424221447955944
2020-12-03T03:17:53.150,4.455841617062785
2020-12-03T11:17:22.706,4.487306069059249
2020-12-03T19:16:52.262,4.518768083472323
2020-12-04T03:16:21.818,4.5501076009454176
2020-12-04T11:15:51.374,4.581493399891498
2020-12-04T19:15:20.930,4.612837603405713
2020-12-05T03:14:50.486,4.643918113770111
2020-12-05T11:14:20.42,4.674878009582827
2020-12-05T19:13:49.598,4.705930867097787
2020-12-06T03:13:19.154,4.736965147250362
2020-12-06T11:12:48.710,4.7678484361479505
2020-12-06T19:12:18.266,4.798596802171559
2020-12-07T03:11:47.822,4.829305983938927
2020-12-07T11:11:17.378,4.859885239234841
2020-12-07T19:10:46.934,4.890447710115659
2020-12-08T03:10:16.490,4.92079610186299
